Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary
,,,,,,,
Title,Authors,Venue,Publication Date,Cluster,Key Contribution,Gap / Limitation,URL
CoTKR: Chain-of-Thought Enhanced Knowledge Rewriting for Complex Knowledge Graph Question Answering,"Yike Wu, Yi Huang, Nan Hu, Yuncheng Hua, Guilin Qi, Jiaoyan Chen, Jeff Z. Pan",EMNLP 2024 (Main),2024-11-12,Multi-hop KG-RAG for Text QA,"First to apply CoT-style interleaved reasoning to KG subgraph rewriting; PAQAF alignment improves downstream QA significantly; outperforms prior single-step rewriters on complex multi-hop KGQA benchmarks (WebQSP, CWQ).","Relies on structured KBs (Freebase/Wikidata) with clean schemas; does not address KG construction from raw unstructured text; evaluation is text-only, no multimodal or video setting.",https://aclanthology.org/2024.emnlp-main.205/
GMeLLo: LLM-Based Multi-Hop Question Answering with Knowledge Graph Integration in Evolving Environments,"Ruirui Chen, Weifeng Jiang, Chengwei Qin, Ishaan Singh Rawal, Cheston Tan, Dongkyu Choi, Bo Xiong, Bo Ai",Findings of EMNLP 2024,2024-11-16,Multi-hop KG-RAG for Text QA,Addresses dynamic/evolving knowledge — important for real-world deployment; converts free-form language to structured KG queries via LLM; outperforms knowledge-editing SOTA on MQuAKE benchmark in high-edit-count scenarios.,Evaluated only on text-based knowledge editing benchmarks; assumes KG can be easily updated with new text facts; does not address video or temporal grounding of facts to specific media segments.,https://aclanthology.org/2024.findings-emnlp.844/
GNN-RAG: Graph Neural Retrieval for Efficient Large Language Model Reasoning on Knowledge Graphs,"Costas Mavromatis, George Karypis",Findings of ACL 2025,2025-07-01,Multi-hop KG-RAG for Text QA,"Separates graph traversal (GNN) from language generation (LLM), enabling efficient multi-hop path retrieval; 8.9–15.5% F1 gain over LLM-only retrieval on WebQSP and CWQ; works for multi-entity questions.","Requires training a GNN on the specific KG, which is not feasible for dynamically built video KGs; KG must follow Freebase-style schemas; no multimodal or temporal segment retrieval.",https://aclanthology.org/2025.findings-acl.856/
SG-RAG: Multi-Hop Question Answering With Large Language Models Through Knowledge Graphs,"Ahmmad O. M. Saleh, Gokhan Tur, Yucel Saygin",ICNLSP 2024,2024-10-01,Multi-hop KG-RAG for Text QA,End-to-end system with clear integration of KG path retrieval + LLM generation; demonstrates multi-hop reasoning without expensive full-KG search; competitive on standard KGQA benchmarks.,"KG traversal relies on predefined ontology schemas; brittle when KG paths are incomplete or when questions deviate from KG coverage; limited to text-domain, no video application.",https://aclanthology.org/2024.icnlsp-1.45/
KiRAG: Knowledge-Driven Iterative Retriever for Enhancing Retrieval-Augmented Generation,"Jinyuan Fang, Zaiqiao Meng, Craig MacDonald",ACL 2025 (Long Papers),2025-07-01,Multi-hop KG-RAG for Text QA,Does not require a pre-built external KG — constructs triples on-the-fly from documents; iterative gap-filling naturally handles multi-hop questions; 9.4% R@3 and 5.1% F1 improvement over iterative RAG baselines.,Triple extraction quality depends heavily on the LLM used; iterative retrieval adds latency; evaluated on text corpora only — application to video transcripts with temporal grounding is unexplored.,https://aclanthology.org/2025.acl-long.929/
BYOKG-RAG: Multi-Strategy Graph Retrieval for Knowledge Graph Question Answering,"Costas Mavromatis, Soji Adeshina, Vassilis N. Ioannidis, Zhen Han, Qi Zhu, Ian Robinson, Bryan Thompson, Huzefa Rangwala, George Karypis",EMNLP 2025 (Main),2025-11-01,Multi-hop KG-RAG for Text QA,Works over custom/proprietary KGs without schema restrictions; multi-tool graph retrieval generalizes across 5 benchmark KG types; 4.5% point improvement over the second-best graph retrieval method; open-sourced.,"Requires a pre-existing, well-connected KG; does not address KG construction from raw video content; OpenCypher query generation assumes a graph database backend not typical in video RAG systems.",https://aclanthology.org/2025.emnlp-main.1417/
M³GQA: A Multi-Entity Multi-Hop Multi-Setting Graph Question Answering Benchmark,"Boci Peng, Yongchao Liu, Xiaohe Bo, Jiaxin Guo, Yun Zhu, Xuanbo Fan, Chuntao Hong, Yan Zhang",ACL 2025 (Long Papers),2025-07-01,Multi-hop KG-RAG for Text QA,First benchmark specifically designed to evaluate GraphRAG on multi-entity multi-hop questions; six settings provide comprehensive evaluation coverage; reveals that current GraphRAG methods struggle significantly on complex entity combinations.,"Benchmark is text/KG-only; does not cover video or multimodal KG settings; constructed from structured Wikipedia KGs, not domain-specific educational content.",https://aclanthology.org/2025.acl-long.1478/
KG2RAG: Knowledge Graph-Guided Retrieval Augmented Generation,"Xiangrong Zhu, Yuexiang Xie, Yi Liu, Yaliang Li, Wei Hu",NAACL 2025 (Long Papers),2025-04-01,GraphRAG Pipeline Design,Improves diversity and coherence of retrieved context using KG structure; does not require multi-hop path reasoning — chunk expansion is efficient; modular design compatible with existing RAG systems.,"Single-hop: one round of KG-guided expansion, no iterative multi-hop traversal; KG is built from text chunks, not from video segments; no temporal or sequential ordering of content.",https://aclanthology.org/2025.naacl-long.449/
